
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32897
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32898
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32899
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32900
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32901
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32902
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32903
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32904
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32905
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32906
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32907
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32908
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32909
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32910
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32911
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32912
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32913
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32914
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32915
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32916
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32917
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32918
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32919
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32920
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32921
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32922
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32923
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32924
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32925
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32926
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32927
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32928
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32929
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32929
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32931
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32932
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32932
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32934
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32934
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32935
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32937
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32937
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32938
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32940
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32940
Sample data: 0.90, 0.70, 0.50, 0.30, 0.10, 32941
Sample data: 0.10, 0.30, 0.50, 0.70, 0.90, 32942
